plant_group,n,median_lnrr,q25,q75
Forb,74,0.275,0.1325,0.48
Legume,109,0.38,0.11,0.73
Grass,170,0.46499999999999997,0.23,0.8274999999999999
Tree,81,0.48,0.13,0.94
