variable,time,median,q25,q75
O₂ depletion,1.2969444444444442,999.4500148538322,999.4453498310011,1012.8511187833933
O₂ depletion,3.6411111111111114,986.0936405276055,978.9295216882884,996.5216223991741
O₂ depletion,5.976111111111112,967.5464692920768,963.6172739394084,968.9037797096088
O₂ depletion,8.311944444444444,956.6605785446526,956.4425018264208,958.0352318081534
O₂ depletion,9.320277777777775,957.6967490606824,941.489860611918,959.3369005506398
O₂ depletion,11.007777777777775,943.2453421385411,933.0807350371783,946.632260164905
O₂ depletion,12.694722222222222,928.6144230728823,913.5103751626823,935.1978911666307
O₂ depletion,14.381944444444446,915.1830758615814,909.844781728089,917.9245057419051
O₂ depletion,16.068611111111107,912.7900916330569,908.9486196971479,916.4215723113416
O₂ depletion,17.75611111111111,896.9754485226827,887.0804335683706,906.5964331896221
O₂ depletion,19.442499999999992,879.397515122833,868.995851622389,892.1598433719548
O₂ depletion,21.12916666666667,873.9440795510233,862.8127220954389,883.1364751963519
O₂ depletion,22.815833333333327,867.8285689727527,858.5642953561934,877.0129560635286
O₂ depletion,24.494444444444444,864.6643858845944,861.9259736984527,866.2208795090266
O₂ depletion,26.18166666666667,849.7649159431921,844.375174650684,854.3949073186169
O₂ depletion,27.868611111111107,844.2323740030006,842.6929920962734,845.7717559097279
O₂ depletion,29.555555555555557,829.4317213455597,827.7890402302062,831.0744024609135
O₂ depletion,31.242222222222214,823.9910389590318,823.5116959219617,824.470381996102
O₂ depletion,32.92916666666665,818.1662882679279,817.17497887713,819.1575976587259
NO transient,1.3225000000000002,0.4001876039695068,0.15461037633367922,0.8065760872237875
NO transient,3.661722222222223,0.4739106671911723,0.17331473284072793,0.5473070240743949
NO transient,5.996611111111113,1.0041244233971318,0.9700240737872604,1.7685493720348624
NO transient,8.087333333333332,1.3090683661259157,0.5497066078841091,1.4532111312169544
NO transient,9.329166666666667,1.5768968576892346,0.35050908805909387,2.3641843641135516
NO transient,11.016555555555556,0,0,0.6693881815056802
NO transient,12.703277777777773,1.069791384693665,0.1938056992245082,1.1150100186375325
NO transient,14.38966666666667,0,0,0.4806360108671922
NO transient,16.076555555555554,1.6132347498624273,0,1.9483099277248894
NO transient,17.87375,1.4371081369912375,0.9117141745589299,2.1744696404355173
NO transient,19.56,0.4127496005840109,0.2799678624886154,0.4772559411224978
NO transient,21.246527777777775,0,0,0.2300819899720075
NO transient,22.933472222222218,0.31352226258516397,0,0.9141157085533643
NO transient,24.616250000000004,1.834127045932175,0.5929330413003463,3.0853291202035296
NO transient,26.303333333333324,0.48135956616607717,0.10448301782475278,0.942283965763278
NO transient,28.71208333333333,0,0,0.00637879842956637
NO transient,32.085694444444435,0.5738018012034932,0,1.1904967838764065
N₂O accumulation,1.3225000000000002,3.628043361911544,3.58297129613561,3.660651853296344
N₂O accumulation,3.661722222222223,3.941351540327066,3.923302661270165,4.08822744517189
N₂O accumulation,5.996611111111113,4.172395931172818,4.116306347126692,4.493444370105033
N₂O accumulation,8.087333333333332,4.309848425800628,4.289985690210201,4.780062722596752
N₂O accumulation,9.329166666666667,4.333367088864274,4.324174314122797,4.773318239390745
N₂O accumulation,11.016555555555556,4.439278498161884,4.160767467631989,4.641340844028917
N₂O accumulation,12.703277777777773,4.304906384439431,4.0217894169567705,4.544333992513575
N₂O accumulation,14.38966666666667,4.150508581011621,3.8688309943761063,4.703177306205125
N₂O accumulation,16.076555555555554,4.027996348510446,3.709260558331688,4.7347930557452695
N₂O accumulation,17.87375,4.480328430924578,4.047305267303268,4.997826181107936
N₂O accumulation,19.56,4.45196998603409,3.965972059380698,5.009735715144157
N₂O accumulation,21.246527777777775,4.311387974078797,3.749298486962533,4.978525584542965
N₂O accumulation,22.933472222222218,4.251128074392156,3.7149231519175894,4.881959902491772
N₂O accumulation,24.616250000000004,4.2536909068651685,3.752937210841129,4.779610001852835
N₂O accumulation,26.303333333333324,4.197229821673189,3.6942032705877224,4.710232207330619
N₂O accumulation,28.71208333333333,4.61023339010527,4.408962579593012,4.817738869982687
N₂O accumulation,32.085694444444435,4.457253709435691,4.3065297735865125,4.631615666331867
