time,value,variable,signal
0,28.77927,Oxygen forcing,0.5755578272057528
0.16666999999999998,31.721509999999995,Oxygen forcing,0.679271035284994
0.33332999999999996,33.74685,Oxygen forcing,0.7506637526877931
0.5,34.60947,Oxygen forcing,0.7810708872360675
0.6666699999999999,34.08463999999999,Oxygen forcing,0.7625707638619618
0.83333,34.655530000000006,Oxygen forcing,0.7826944904649443
1,34.619240000000005,Oxygen forcing,0.7814152772392402
1.16667,34.401489999999995,Oxygen forcing,0.7737396453875708
1.3333299999999997,33.813849999999995,Oxygen forcing,0.7530254855652294
1.5,34.39312,Oxygen forcing,0.7734446050266136
1.66667,34.80349,Oxygen forcing,0.7879100426521907
1.8333299999999997,34.18095,Oxygen forcing,0.7659656667489162
2,33.3979,Oxygen forcing,0.7383633543656808
2.1666699999999994,33.53887,Oxygen forcing,0.7433325108392965
2.33333,32.59111000000001,Oxygen forcing,0.7099242130494556
2.5,33.007059999999996,Oxygen forcing,0.724586344249004
2.6666699999999994,32.50596,Oxygen forcing,0.7069226973104445
2.83333,32.27984,Oxygen forcing,0.6989520250978181
3,31.90715,Oxygen forcing,0.6858147978427157
3.1666699999999994,32.24774,Oxygen forcing,0.6978205083013148
3.33333,31.612639999999995,Oxygen forcing,0.6754333956078816
3.5,31.968569999999996,Oxygen forcing,0.6879798371461805
3.6666699999999994,32.14584,Oxygen forcing,0.6942285593429447
3.83333,31.8262,Oxygen forcing,0.68296133103035
4,31.57076,Oxygen forcing,0.6739571363107617
4.16667,32.21703,Oxygen forcing,0.6967379886495823
4.33333,31.789909999999995,Oxygen forcing,0.6816821178046457
4.5,31.73966,Oxygen forcing,0.6799108181465684
4.66667,31.491199999999996,Oxygen forcing,0.6711526666431666
4.83333,31.43118,Oxygen forcing,0.6690369769819169
5,31.76477999999999,Oxygen forcing,0.6807962917268846
5.01667,31.74105,Oxygen forcing,0.6799598152913392
5.03333,31.456299999999995,Oxygen forcing,0.6699224505622332
5.05,30.31591,Oxygen forcing,0.6297239945010398
5.06667,28.49994999999999,Oxygen forcing,0.5657118685889524
5.08333,26.74958,Oxygen forcing,0.5040117734146428
5.1,24.505099999999995,Oxygen forcing,0.4248944270154039
5.11667,23.21815,Oxygen forcing,0.37952976840917907
5.13333,21.15931,Oxygen forcing,0.3069561845676619
5.1499999999999995,20.192,Oxygen forcing,0.2728587542740315
5.16667,18.57703,Oxygen forcing,0.21593147449680988
5.18333,18.05918,Oxygen forcing,0.19767739433889106
5.35,12.99094,Oxygen forcing,0.019023229581585505
5.51667,13.430620000000001,Oxygen forcing,0.03452183721668019
5.68333,13.540890000000001,Oxygen forcing,0.03840882653600761
5.85,13.02304,Oxygen forcing,0.020154746378088725
6.01667,12.62663,Oxygen forcing,0.006181395184884892
6.18333,13.607890000000001,Oxygen forcing,0.04077055941344426
6.35,12.989540000000002,Oxygen forcing,0.018973879939370462
6.51667,13.372000000000002,Oxygen forcing,0.032455497197645344
6.68333,13.19613,Oxygen forcing,0.026256124643096308
6.85,13.358040000000003,Oxygen forcing,0.03196341076527201
7.01667,13.302210000000002,Oxygen forcing,0.02999541753322293
7.18333,13.860540000000002,Oxygen forcing,0.04967640734604678
7.35,13.49902,Oxygen forcing,0.03693291973633187
7.51667,13.896830000000001,Oxygen forcing,0.05095562057175087
7.68333,14.109,Oxygen forcing,0.05843455884944831
7.85,14.162040000000003,Oxygen forcing,0.060304205294511685
8.016670000000001,14.145290000000001,Oxygen forcing,0.05971377207515246
8.18333,13.86891,Oxygen forcing,0.049971447707004076
8.350000000000001,14.048969999999999,Oxygen forcing,0.05631851669075392
8.516670000000001,13.92195,Oxygen forcing,0.05184109415206739
8.68333,13.874500000000003,Oxygen forcing,0.05016849377842018
8.850000000000001,14.1425,Oxygen forcing,0.05961542528816663
9.016670000000001,13.560440000000002,Oxygen forcing,0.03909795903979699
9.18333,14.14668,Oxygen forcing,0.05976276921992312
9.350000000000001,14.3742,Oxygen forcing,0.06778279107476468
9.516670000000001,14.276490000000003,Oxygen forcing,0.0643385385455956
9.68333,13.965230000000002,Oxygen forcing,0.053366703091402616
9.850000000000001,14.455160000000003,Oxygen forcing,0.07063661038457478
10.01667,14.866930000000002,Oxygen forcing,0.08515139765236705
10.18333,14.584969999999998,Oxygen forcing,0.07521237971024701
10.350000000000001,14.3407,Oxygen forcing,0.06660192463604636
10.51667,14.305810000000003,Oxygen forcing,0.06537206105255744
10.68333,14.43562,Oxygen forcing,0.06994783037822973
10.850000000000001,14.565430000000003,Oxygen forcing,0.07452359970390221
11.01667,14.59893,Oxygen forcing,0.07570446614262041
11.18333,14.38537,Oxygen forcing,0.06817653072015224
11.350000000000001,14.624049999999999,Oxygen forcing,0.07658993972293693
11.51667,14.942300000000001,Oxygen forcing,0.08780817089076105
11.68333,14.79049,Oxygen forcing,0.08245690718742286
11.850000000000001,13.164900000000001,Oxygen forcing,0.025155275124255357
12.01667,13.67287,Oxygen forcing,0.04306108780711335
12.18333,14.68069,Oxygen forcing,0.07858648524798192
12.350000000000001,13.374740000000003,Oxygen forcing,0.03255208149740921
12.51667,13.302210000000002,Oxygen forcing,0.02999541753322293
12.68333,13.84252,Oxygen forcing,0.04904120695124958
12.850000000000001,13.33676,Oxygen forcing,0.03121329620360249
13.01667,13.723949999999999,Oxygen forcing,0.044861644753075455
