rec_id,gas,change_type,experiment_type,experiment_type_notes,date,location,lat,long,elevation,site_type,vegetation,mat,map,soil_type,soil_bd,soil_c,soil_n,soil_p_h,soil_p_h_notes,rainfall,t_incubation,t_soil_pre,t_soil_post,sm_pre,sm_post,sm_change,flux_pre_raw,flux_post_raw,flux_pre,flux_post,flux_units,conversion,flux_pre_norm,flux_post_norm,flux_norm_units,flux_change,flux_change_notes,cumulative_flux_during_peak,peak_lag,duration,annual_budget_contrib,surplus_emissions,notes,ref_short,ref_long,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,log_response_ratio
116,N2O,Rewetting,Lab,NA,NA,"Tokyo, Japan",NA,NA,NA,Grassland,"Sorghum bicolor (L.) Moench, sorghum sudanense (Piper)",NA,NA,Loam to clay loam,0.58,6.96,0.56,6,6,NA,NA,NA,NA,NA,WFPS: 73%,NA,< 50 _g N m_2 h_1*,2620 _g N m_2 h_1,50,2620,µg N/m2/hr,0.0031,0.15700000000000003,8.233999999999998,mg gas/m2/hr,5140,NA,NA,30,NA,NA,NA,NA,"Yanai et al., 2007","Yanai, Y., Toyota, K., Okazaki, M., 2007. Effects of charcoal addition on N2O emissions from soil resulting from rewetting air-dried soil in short-term laboratory experiments. Soil Science and Plant Nutrition 53, 181-188. doi: 10.1111/j.1747-0765.2007.00123.x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9597813969815414
117,N2O,Rewetting,Lab,NA,NA,"Ottawa, ON, Canada",45.367,-75.717,NA,Cropland,Maize (Zea mays L.),NA,NA,"33% clay, 31% silt and 36% sand",1.01,2.45,0.19,7.4,7.4,NA,NA,NA,NA,WFPS:7,WFPS:45,38,<0.01 mg N2O-N kg-1 d-1,13 mg N2O-N kg-1 d-1,0.01,13,mg N/kg/day,0.131,0.001,1.702,mg gas/kg/hr,129900,129900,NA,NA,72,NA,NA,NA,"Beare et al., 2009","Beare, M.H., Gregorich, E.G., St-Georges, P., 2009. Compaction effects on CO2 and N2O production during drying and rewetting of soil. Soil Biology and Biochemistry 41, 611-621. doi:10.1016/j.soilbio.2008.12.024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.43955930913332
118,N2O,Rewetting,Lab,NA,NA,"Ottawa, ON, Canada",45.367,-75.717,NA,Cropland,Maize (Zea mays L.),NA,NA,"33% clay, 31% silt and 36% sand",1.49,2.45,0.19,7.4,7.4,NA,NA,NA,NA,WFPS:14,WFPS:77,63,0.22 mg N2O-N kg-1 d-1,259 mg N2ON kg-1 d-1,0.22,259,mg N/kg/day,0.131,0.028999999999999998,33.916999999999994,mg gas/kg/hr,117627,117627,NA,NA,72,NA,NA,NA,"Beare et al., 2009","Beare, M.H., Gregorich, E.G., St-Georges, P., 2009. Compaction effects on CO2 and N2O production during drying and rewetting of soil. Soil Biology and Biochemistry 41, 611-621. doi:10.1016/j.soilbio.2008.12.024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.064375812611791
119,N2O,Rewetting,Lab,NA,NA,"Kifu Forest Research station, Mukono district, Central Uganda",0.8,32.767,NA,Agroforest,Caliandra calothyrsus trees,NA,1240,"Clay loam (57% clay, 14% silt, and 29% sand)",NA,NA,NA,NA,NA,NA,25,NA,NA,4,50,45,0.5 ug N m-2 h-1,2100 ug N m-2 h-1,0.5,2100,µg N/kg/hr,0.0031,0.002,6.6,mg gas/kg/hr,419900,439700,NA,NA,192,NA,NA,NA,"Dick et al., 2001","Dick, J., Skiba, U., Wilson, J., 2001. The effect of rainfall on NO and N2O emissions from Ugandan agroforest soils. Phyton-Annales Rei Botanicae 41, 73-80.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.101677747454572
120,N2O,Rewetting,Lab,NA,NA,"Kifu Forest Research station, Mukono district, Central Uganda",0.8,32.767,NA,Agroforest,Grevillea robusta trees,NA,1240,"Clay loam (57% clay, 14% silt, and 29% sand)",NA,NA,NA,NA,NA,NA,25,NA,NA,4,50,45,0.5 ug N m-2 h-1,21 ug N m-2 h-1,0.5,21,µg N/kg/hr,0.0031,0.002,0.066,mg gas/kg/hr,4100,4100,NA,NA,192,NA,NA,NA,"Dick et al., 2001","Dick, J., Skiba, U., Wilson, J., 2001. The effect of rainfall on NO and N2O emissions from Ugandan agroforest soils. Phyton-Annales Rei Botanicae 41, 73-80.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4965075614664802
121,N2O,Rewetting,Lab,NA,NA,"Xilin River catchment, Inner Mongolia, China",NA,NA,NA,Typical steppe,L. chinensis and Stipagrandis,0.8,330,sandy loam,1.305,1.685,0.165,6.45,6.1-6.8,NA,5,NA,NA,2.0-8.0 WFPS,NA,NA,< 1 ug N m-2 h-1,10 ug N m-2 h-1,1,10,µg N/m2/hr,0.0031,0.003,0.031,mg gas/m2/hr,900,900,NA,NA,NA,NA,NA,NA,"Yao et al., 2010","Yao, Z., Wu, X., Wolf, B., Dannenmann, M., Butterbach-Bahl, K., Brüggemann, N., Chen, W., Zheng, X., 2010. Soil-atmosphere exchange potential of NO and N2O in different land use types of Inner Mongolia as affected by soil temperature, soil moisture, freeze-thaw, and drying-wetting events. J. Geophys. Res. 115, D17116. doi:10.1029/2009jd013528.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3353749158170367
122,N2O,Rewetting,Lab,NA,NA,"Xilin River catchment, Inner Mongolia, China",NA,NA,NA,Mountain meadow,NA,0.8,330,sandy loam,1,4.5,0.39,5.45,5.0-5.9,NA,5,NA,NA,2.0-8.0 WFPS,NA,NA,< 1 ug N m-2 h-1,14 ug N m-2 h-1,1,14,µg N/m2/hr,0.0031,0.003,0.044,mg gas/m2/hr,1300,1300,NA,NA,NA,NA,NA,NA,"Yao et al., 2010","Yao, Z., Wu, X., Wolf, B., Dannenmann, M., Butterbach-Bahl, K., Brüggemann, N., Chen, W., Zheng, X., 2010. Soil-atmosphere exchange potential of NO and N2O in different land use types of Inner Mongolia as affected by soil temperature, soil moisture, freeze-thaw, and drying-wetting events. J. Geophys. Res. 115, D17116. doi:10.1029/2009jd013528.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6855773452501515
123,N2O,Rewetting,Lab,NA,NA,"Bandia, Senegal, Africa",14.417,-16.967,NA,Forest,Acacia raddiana,25.8,375,Vertisol,NA,1.2,NA,6.7,6.7,20,25,20,NA,NA,NA,NA,2.5 ng N g-1 h-1*,10 ng N g-1 h-1*,2.5,10,ng N/g/hr,0.0031,0.008,0.031,mg gas/kg/hr,300,NA,NA,NA,96,NA,NA,NA,"Dick et al., 2006","Dick, J., Skiba, U., Munro, R., Deans, D., 2006. Effect of N-fixing and non N-fixing trees and crops on NO and N2O emissions from Senegalese soils. Journal of Biogeography 33, 416-423.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3545456628053103
224,CH4,Thawing,Field,NA,NA,NA,NA,NA,NA,Subarctic mire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6 mg m-2 d-1,22.5 mg m-2 d-1,2.6,22.5,mg CH4/m2/day,0.0417,0.10800000000000001,0.9380000000000001,mg gas/m2/hr,765,765,NA,NA,NA,NA,NA,NA,"Friborg et al., 1997","Friborg, T., Christensen, T.R., Sogaard, H., 1997. Rapid response of greenhouse gas emission to early spring thaw in a subarctic mire as shown by micrometeorological techniques. Geophysical Research Letters 24, 3061-3064. doi:10.1029/97GL03024.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.161618721882005
226,CH4,Thawing,Field,NA,NA,"Sanjiang Plain, China",47.583,133.517,NA,Freshwater marsh,Carex Lasiocarpa,NA,NA,NA,0.35,32.2,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,6 mg m-2 h-1*,11 mg m-2 h-1*,6,11,mg CH4/m2/hr,1,6,11,mg gas/m2/hr,83,83,NA,NA,NA,NA,NA,NA,"Song et al., 2006","Song, C., Wang, Y., Zhao, Z., 2006. Emission of CO2, CH4 and N2O from freshwater marsh during freeze–thaw period in Northeast of China. Atmospheric Environment 40, 6879-6885. doi:10.1016/j.atmosenv.2005.08.028.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6061358035703155
